id,question,ground_truth_answer,answer_location,reasoning,difficulty_justification,library,source_url,source_title,target_url,target_title,difficulty,flagged_for_review,generated_by,created_at
q0001,"When using `pandas.DataFrame.rename`, what are the accepted values for the `axis` parameter, and which specific value should be used to target and rename the columns?","For `pandas.DataFrame.rename`, the `axis` parameter accepts `{0 or ‘index’, 1 or ‘columns’}`. To rename the columns, you should set the `axis` parameter to `1` or `'columns'`. The default value for `axis` is `0` or `'index'`, which targets the index.",target,"The source page (`pandas.Series.rename`) explicitly states that its `axis` parameter is 'Unused' and only accepts `{0 or ‘index’}`, thus it cannot provide information on how `axis` is actually utilized for renaming columns in a DataFrame or the additional values it accepts.",This is a single-hop question because the answer is found by following one direct cross-reference from `pandas.Series.rename` to `pandas.DataFrame.rename`.,pandas,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.rename.html,pandas.Series.rename,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.rename.html,pandas.DataFrame.rename,multi_hop,False,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
q0002,"When utilizing `numpy.lexsort` with multiple keys, which specific key in the provided sequence serves as the primary determinant for the sort order?","When `numpy.lexsort` is used with multiple sorting keys, the last key in the sequence is used for the primary sort order. Any ties that occur based on the primary key are then resolved by the second-to-last key, and this process continues backwards through the sequence of keys.",target,The source page provides an introduction to NumPy basics and its `ndarray` but contains no information regarding the specific function `numpy.lexsort` or its behavior with multiple sorting keys.,This is a single_hop question as the answer can be directly found on the target page after following one cross-reference from the initial source page.,numpy,https://numpy.org/devdocs/user/absolute_beginners.html,NumPy: the absolute basics for beginners,https://numpy.org/devdocs/reference/generated/numpy.lexsort.html,numpy.lexsort,multi_hop,True,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
q0003,"What are the two primary optimized multi-axis indexing methods in pandas recommended for production code, and what kinds of inputs does the label-based method specifically accept?","The two primary optimized multi-axis indexing methods recommended for production code are `.loc` and `.iloc`. The `.loc` method, which is primarily label-based, accepts various inputs including a single label (e.g., 5 or 'a'), a list or array of labels (e.g., ['a', 'b', 'c']), a slice object with labels where both start and stop are included (e.g., 'a':'f'), a boolean array, a callable function, or a tuple of row and column indices.",target,"The source page describes `DataFrame.where` but does not introduce or explain the `.loc` or `.iloc` indexing methods or their specific input types, which are detailed exclusively in the target page.",This is a single-hop question because it requires following one cross-reference from the `Notes` section of the `pandas.DataFrame.where` page to the `Indexing and selecting data` page to retrieve the answer.,pandas,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.where.html,pandas.DataFrame.where,https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html,Indexing and selecting data,multi_hop,True,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
q0004,"What are the key additional aspects of data interpretation described by a `numpy.dtype` object, beyond the data's fundamental type (like integer or float) and its memory size (bit-width)?","Beyond its fundamental type and memory size, a `numpy.dtype` object describes the byte order of the data (little-endian or big-endian). For structured data types, it details the names, data-types, and memory locations of its fields. If the data type is a sub-array, it describes its shape and data type.",target,"The source page discusses `numpy.dtype` objects in terms of their general characteristics, bit-width, and numerical types. However, it does not provide a comprehensive list of all aspects a `dtype` describes, specifically omitting details on byte order (as an explicit aspect of interpretation), structured data types, and sub-arrays. These specific details are enumerated only in the target page.",This is a single-hop question because the answer requires following one direct cross-reference from the source page to the target page to retrieve the specific details about `dtype` object descriptions.,numpy,https://numpy.org/devdocs/user/basics.types.html,Data types,https://numpy.org/devdocs/reference/arrays.dtypes.html,Data type objects (dtype),single_hop,False,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
q0005,"According to NEP 32, which specific NumPy financial functions are proposed for deprecation and removal, and what is their intended new package name?","NEP 32 proposes deprecating and ultimately removing the financial functions: fv, ipmt, irr, mirr, nper, npv, pmt, ppmt, pv, and rate. These functions will be moved to an independent repository and provided as a separate package named `numpy_financial`.",target,"The source page (NEP 23) discusses the general policy for backwards compatibility and deprecation, but explicitly states that making concrete decisions about specific functionality deprecations is 'out of scope,' therefore the specific functions proposed for removal and their new location can only be found on the target page (NEP 32).","This is a single-hop question because the source page outlines the general deprecation policy, and the question asks for a specific instance of deprecation detailed in the target page, requiring only one logical jump to a related document.",numpy,https://numpy.org/neps/nep-0023-backwards-compatibility.html,NEP 23 — Backwards compatibility and deprecation policy,https://numpy.org/neps/nep-0032-remove-financial-functions.html,NEP 32 — Remove the financial functions from NumPy,single_hop,True,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
q0006,"What are the recommended assertion functions for comparing floating-point numbers within NumPy's test support module, and which ones are explicitly not recommended for this purpose?","For consistent floating-point comparisons in NumPy's test support, it is recommended to use `assert_allclose`, `assert_array_almost_equal_nulp`, or `assert_array_max_ulp`. Conversely, functions such as `assert_`, `assert_almost_equal`, `assert_approx_equal`, `assert_array_almost_equal`, and `print_assert_equal` are not recommended for floating-point comparisons.",target,"The source page provides an overview of NumPy's testing guidelines and how to run tests, but it does not detail the specific assertion functions or their recommendations for floating-point comparisons.",This is a single-hop question because the answer is found directly on the 'Test support' page after following a single cross-reference from the 'Testing guidelines' page.,numpy,https://numpy.org/devdocs/reference/testing.html,Testing guidelines,https://numpy.org/devdocs/reference/routines.testing.html,Test support,single_hop,True,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
q0007,"When applying `numpy.transpose` to a 1-D array, how does the function transform the array, and what is a recommended way to convert a 1-D array into a 2-D column vector?","For a 1-D array, `numpy.transpose` returns an unchanged view of the original array, as a transposed vector is considered the same. To convert a 1-D array into a 2-D column vector, an additional dimension must be added, which can be achieved using `np.atleast_2d(a).T` or `a[:, np.newaxis]`.",target,The source page describes general properties of ndarrays but does not mention the `numpy.transpose` function or its specific behavior for 1-D arrays.,This is a single_hop question because it requires following one cross-reference from the general ndarray documentation to the specific `numpy.transpose` function page to find the answer.,numpy,https://numpy.org/devdocs/reference/arrays.ndarray.html,The N-dimensional array (ndarray),https://numpy.org/devdocs/reference/generated/numpy.transpose.html,numpy.transpose,multi_hop,True,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
q0008,"According to NEP 45, what specific C dialect should be used when contributing to NumPy's C implementation, and what are the mandated code layout rules regarding indentation and maximum line length?","NEP 45 mandates that the C dialect used in NumPy's C implementation must be C99, as defined by ISO/IEC 9899:1999, and explicitly prohibits GCC extensions. For code layout, it requires 4-space indents with no tabs, and dictates that no line should be longer than 80 characters.",target,"The source page mentions compiler requirements (C11 and C++17) but does not specify the C dialect for the codebase or detailed coding style conventions like indentation and line length, which are exclusively found in the NEP 45 target document.",This question is single_hop because it requires following one explicit cross-reference from the source page to the target page to retrieve the complete answer.,numpy,https://numpy.org/devdocs/dev/development_environment.html,Setting up and using your development environment,https://numpy.org/neps/nep-0045-c_style_guide.html,NEP 45 — C style guide,single_hop,True,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
q0009,"When `numpy.random.permutation` is used with a multi-dimensional array, how does it perform the shuffle?","If `x` is a multi-dimensional array, `numpy.random.permutation` shuffles the elements only along its first index. It makes a copy of the array and shuffles these elements randomly, returning the permuted array.",target,"The source page (`numpy.random.choice`) mentions `numpy.random.permutation` but does not provide details on its behavior with multi-dimensional arrays, which is exclusively described on the target page.",The question requires following a single cross-reference from the `numpy.random.choice` page to the `numpy.random.permutation` page to locate the specific detail about multi-dimensional array handling.,numpy,https://numpy.org/devdocs/reference/random/generated/numpy.random.choice.html,numpy.random.choice,https://numpy.org/devdocs/reference/random/generated/numpy.random.permutation.html,numpy.random.permutation,single_hop,True,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
q0010,"When using PyArrow-backed string support in pandas, what is the key difference in the return types for operations when comparing `pd.StringDtype(""pyarrow"")` with `pd.ArrowDtype(pa.string())`?","While `pd.StringDtype(""pyarrow"")` and `pd.ArrowDtype(pa.string())` generally lead to similar behavior for data operations, `pd.StringDtype(""pyarrow"")` can return NumPy-backed nullable types. Conversely, `pd.ArrowDtype(pa.string())` will consistently return an `ArrowDtype`.",target,"The source page only states that `pd.StringDtype(""pyarrow"")` and `pd.ArrowDtype(pa.string())` are not equivalent and refers to a 'string section' for more details; it does not provide the specific explanation of how their return types differ, which is explicitly detailed in the target page's note.",This is a single-hop question because it requires following one logical cross-reference from the source page's note about string types to the detailed PyArrow Functionality guide.,pandas,https://pandas.pydata.org/pandas-docs/stable/reference/arrays.html,"pandas arrays, scalars, and data types",https://pandas.pydata.org/pandas-docs/stable/user_guide/pyarrow.html,PyArrow Functionality,multi_hop,True,gemini-1.5-flash,2026-05-18T15:22:50.731478Z
